application_number,application_no,open_number,publication_no,register_number,registration_no,register_status,final_disposal,legal_status,invention_title,title,right_holder,applicant,inventor,application_date,application_year,open_date,publication_date,register_date,registration_date,ipc_number,ipc,cpc_number,cpc,abstract,claim_text,claims,url,drawing,is_registered,is_alive_estimated,has_negative_disposal_estimated,tech_keyword_match_count,source_file,source_sheet,source_row,ipc_subclass_refined,ipc_main_refined,has_h01l_refined,has_semiconductor_related_ipc_refined,tech_keyword_match_count_refined,is_registered_bool,is_alive_estimated_bool,application_year_num
1020210150899,1020210150899,1020220064315.0,1020220064315.0,1026102470000.0,1026102470000.0,등록,등록,등록 등록,반도체 패키지 및 이의 제조 방법,반도체 패키지 및 이의 제조 방법,주식회사 네패스|주식회사 네패스라웨,주식회사 네패스|주식회사 네패스라웨,,20211104,2021,20220518.0,20220518.0,20231130.0,20231130.0,H10W 20/43|H10W 20/40|H10W 70/40|H10W 20/49|H10W 29/00|H10W 40/22|H10W 74/10|H10W 74/40|H10B 80/00|H10W 20/44|H10W 70/00,H10W 20/43|H10W 20/40|H10W 70/40|H10W 20/49|H10W 29/00|H10W 40/22|H10W 74/10|H10W 74/40|H10B 80/00|H10W 20/44|H10W 70/00,,,"본 개시의 반도체 패키지는 활성 층과 인접한 제1 면 및 상기 제1 면에 반대되는 제2 면을 갖는 반도체 칩; 상기 반도체 칩의 상기 제1 면 상에 배치되고 상기 활성 층과 연결된 도전성 스터드; 상기 반도체 칩의 상기 제2 면 상에 배치된 접착 층; 상기 반도체 칩의 외측에 배치된 도전성 포스트; 상기 반도체 칩의 상기 제1 면 상의 제1 재배선 구조물로서, 상기 도전성 스터드 및 상기 도전성 포스트를 지지하는 제1 재배선 절연 층; 상기 제1 재배선 절연 층의 내부에서 수평 방향으로 연장된 제1 재배선 라인 패턴; 및 상기 제1 재배선 절연 층의 내부에서 수직 방향으로 연장된 제1 재배선 비아 패턴;을 포함하는 상기 제1 재배선 구조물; 상기 반도체 칩의 상기 제2 면 상의 제2 재배선 구조물로서, 상기 접착 층 상에 배치된 제2 재배선 절연 층; 및 상기 제2 재배선 절연 층의 내부에서 수평 방향으로 연장된 제2 재배선 라인 패턴; 및 상기 제2 재배선 절연 층의 내부에서 수직 방향으로 연장된 제2 재배선 비아 패턴;을 포함하는 상기 제2 재배선 구조물; 상기 제1 재배선 구조물 및 상기 제2 재배선 구조물 사이에 배치되어, 상기 반도체 칩, 상기 접착 층, 상기 도전성 스터드, 및 상기 도전성 포스트를 감싸는 제1 몰딩 층;을 포함한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9328f5a912c888a1604ff579e87f821b091a0665246f3173a6cae241fd42c7005fb584f7181202ddb2669153aa54387f5f558cf6b7b6d352be,True,True,False,3,data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv,,2,H10W,H10W 20,False,True,3,True,True,2021.0
1020210150898,1020210150898,1020220064314.0,1020220064314.0,1026102460000.0,1026102460000.0,등록,등록,등록 등록,반도체 패키지 및 이의 제조 방법,반도체 패키지 및 이의 제조 방법,주식회사 네패스|주식회사 네패스라웨,주식회사 네패스|주식회사 네패스라웨,,20211104,2021,20220518.0,20220518.0,20231130.0,20231130.0,H10W 70/00|H10W 70/40|H10W 20/49|H10W 29/00|H10W 40/22|H10W 74/10|H10W 74/40|H10B 80/00|H10W 20/44|H10W 20/40|H10W 20/43,H10W 70/00|H10W 70/40|H10W 20/49|H10W 29/00|H10W 40/22|H10W 74/10|H10W 74/40|H10B 80/00|H10W 20/44|H10W 20/40|H10W 20/43,,,"본 개시의 예시적 실시예에 따른 반도체 패키지는 제1 활성 층과 인접한 하면 및 상기 하면에 반대되는 상면을 갖는 제1 반도체 칩; 상기 제1 반도체 칩의 상기 상면 상에 배치되는 제1 접착 층; 상기 제1 반도체 칩의 상기 하면 상에 배치되고, 상기 제1 활성 층과 전기적으로 연결된 제1 도전성 스터드; 상기 제1 반도체 칩의 외측에 배치된 제1 도전성 포스트; 상기 제1 반도체 칩의 하부에 배치된 재배선 구조물로서, 상기 제1 도전성 스터드 및 상기 제1 도전성 포스트와 연결된 재배선 패턴; 및 상기 재배선 패턴을 감싸는 재배선 절연 층;을 포함하는 상기 재배선 구조물; 및 상기 재배선 구조물 상에서 상기 제1 반도체 칩, 상기 제1 접착 층, 상기 제1 도전성 스�, 및 상기 제1 도전성 포스트를 감싸는 몰딩 층;을 포함한다. 또한, 반도체 패키지의 상기 몰딩 층의 상면, 상기 도전성 포스트의 상면, 및 상기 제1 접착 층의 상면은 동일 평면 상에 있을 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9328f5a912c888a1604ff579e87f821b091a0665246f3173a6cae241fd42c7005f99f63731d0311929be11400294078a7500be1e049034125a,True,True,False,3,data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv,,3,H10W,H10W 70,False,True,3,True,True,2021.0
1020210097184,1020210097184,1020230015714.0,1020230015714.0,1025501420000.0,1025501420000.0,등록,등록,등록 등록,반도체 패키지,반도체 패키지,주식회사 네패스라웨|네패스 하임,주식회사 네패스라웨|네패스 하임,,20210723,2021,20230131.0,20230131.0,20230627.0,20230627.0,H10W 70/62|H10W 20/40|H10W 29/00,H10W 70/62|H10W 20/40|H10W 29/00,,,"본 발명의 기술적 사상은 상면, 바닥면, 및 측면을 포함하고, 상기 상면에 마련된 칩 패드를 포함하는 제1 반도체 칩; 상기 제1 반도체 칩의 상기 상면 및 상기 측면을 덮는 제1 커버 절연층; 상기 제1 커버 절연층의 상면을 따라 연장되고, 상기 제1 반도체 칩의 상기 칩 패드에 전기적으로 연결된 제1 상부 도전층; 상기 제1 커버 절연층의 측면을 따라 연장되고, 상기 제1 상부 도전층에 연결된 제1 사이드 도전층;상기 제1 반도체 칩의 상기 바닥면을 따라 연장되고, 상기 제1 사이드 도전층에 연결된 제1 하부 도전층; 상기 제1 반도체 칩의 관통홀 내에 제공되고, 상기 제1 상부 도전층과 상기 제1 하부 도전층 사이를 전기적으로 연결하는 제1 칩 관통 도전층; 및 상기 제1 상부 도전층, 상기 제1 사이드 도전층, 상기 제1 칩 관통 도전층, 및 상기 제1 커버 절연층을 덮는 제2 커버 절연층;을 포함하는 반도체 패키지를 제공한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9322af84f57b08f2914d8d6d578d04e03445d891357f9d9514d3d00ad20d4a18bd19eba5573d7be6aac19dee99cdc16abd632f246c9310f285,True,True,False,3,data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv,,4,H10W,H10W 70,False,True,3,True,True,2021.0
1020210094130,1020210094130,1020230013414.0,1020230013414.0,1025501410000.0,1025501410000.0,등록,등록,등록 등록,반도체 패키지,반도체 패키지,주식회사 네패스라웨|네패스 하임,주식회사 네패스라웨|네패스 하임,,20210719,2021,20230126.0,20230126.0,20230627.0,20230627.0,H10W 70/62|H10W 20/40|H10W 29/00,H10W 70/62|H10W 20/40|H10W 29/00,,,"본 발명의 기술적 사상은 상면, 바닥면, 및 측면을 포함하고, 상기 상면에 마련된 칩 패드를 포함하는 제1 반도체 칩; 상기 제1 반도체 칩의 상기 칩 패드 상의 제1 도전성 필라; 상기 제1 반도체 칩의 상기 상면 및 상기 측면을 덮고, 상기 제1 도전성 필라의 측벽을 포위하는 제1 커버 절연층; 상기 제1 커버 절연층의 상면을 따라 연장되고, 상기 제1 도전성 필라를 통해 상기 제1 반도체 칩의 상기 칩 패드에 전기적으로 연결된 제1 상부 도전층; 상기 제1 커버 절연층의 측면을 따라 연장되고, 상기 제1 상부 도전층에 연결된 제1 사이드 도전층; 상기 제1 상부 도전층, 상기 제1 사이드 도전층, 및 상기 제1 커버 절연층을 덮는 제2 커버 절연층; 및 상기 제1 반도체 칩의 상기 바닥면을 따라 연장되고, 상기 제1 사이드 도전층에 연결된 제1 하부 도전층;을 포함하고, 상기 제1 커버 절연층의 상기 상면의 표면 거칠기는, 상기 제1 반도체 칩의 상기 상면에 접촉된 상기 제1 커버 절연층의 표면의 표면 거칠기보다 큰 반도체 패키지를 제공한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c9322af84f57b08f2914d8d6d578d04e034c00c52ee695737d21b3f879b3a036daacbefcdab0ce327f373387ac5e1436b444e048689ba5bd44d,True,True,False,3,data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv,,5,H10W,H10W 70,False,True,3,True,True,2021.0
1020230101741,1020230101741,1020240148711.0,1020240148711.0,1028365390000.0,1028365390000.0,등록,등록,등록 등록,반도체 패키지 및 그 제조 방법,반도체 패키지 및 그 제조 방법,주식회사 네패스라웨|네패스 하임,주식회사 네패스라웨|네패스 하임,,20230803,2023,20241011.0,20241011.0,20250716.0,20250716.0,H10B 80/00|H10W 90/00|H10W 74/10|H10P 72/70|H10W 29/00,H10B 80/00|H10W 90/00|H10W 74/10|H10P 72/70|H10W 29/00,,,"프레임들; 상기 프레임들 상에 배치되는 제1 반도체 장치; 상기 제1 반도체 장치와 측면으로 이격되어, 상기 프레임들 상에 배치되는 적어도 하나 이상의 도전성 포스트; 상기 제1 반도체 장치 및 상기 도전성 포스트를 둘러싸는 봉지재; 및 상기 봉지재 상에 배치되어, 상기 제1 반도체 장치 및 상기 도전성 포스트와 전기적으로 연결되는 재배선층;을 포함하는 반도체 패키지를 제공한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93c040d70001b624f5684d1632e77fbbe56bbb3117cbeab3944e9633126c9d0314bacd1aee33943ab15d5a9bc96c0cdb5e4e90695e30d95718,True,True,False,2,data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv,,6,H10B,H10B 80,False,True,2,True,True,2023.0
1020210093129,1020210093129,1020230012364.0,1020230012364.0,1025788850000.0,1025788850000.0,등록,등록,등록 등록,반도체 패키지,반도체 패키지,주식회사 네패스라웨|네패스 하임,주식회사 네패스라웨|네패스 하임,,20210715,2021,20230126.0,20230126.0,20230911.0,20230911.0,H10W 29/00|H10W 70/40|H10W 70/62,H10W 29/00|H10W 70/40|H10W 70/62,,,"본 발명의 기술적 사상은 상면, 바닥면, 및 측면을 포함하고, 상기 상면에 마련된 칩 패드를 포함하는 제1 반도체 칩; 상기 제1 반도체 칩의 상기 상면 및 상기 측면을 덮는 제1 커버 절연층; 상기 제1 커버 절연층의 상면을 따라 연장되고, 상기 제1 반도체 칩의 상기 칩 패드에 연결된 제1 상부 도전층; 상기 제1 커버 절연층의 측면을 따라 연장되고, 상기 제1 상부 도전층에 연결된 제1 사이드 도전층; 상기 제1 상부 도전층, 상기 제1 사이드 도전층, 및 상기 제1 커버 절연층을 덮는 제2 커버 절연층; 및 상기 제1 반도체 칩의 상기 바닥면을 따라 연장되고, 상기 제1 사이드 도전층에 연결된 제1 하부 도전층;을 포함하는 반도체 패키지를 제공한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93f6548c790985d9b42df3b696cb0bd420628364929a7eeeebfe825a6a229a6517dc933a022c3933651a90fed613eac47cfdf019f60b965c6c,True,True,False,3,data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv,,7,H10W,H10W 29,False,True,3,True,True,2021.0
1020210136820,1020210136820,1020230053378.0,1020230053378.0,1026535310000.0,1026535310000.0,등록,등록,등록 등록,반도체 패키지,반도체 패키지,주식회사 네패스라웨|네패스 하임,주식회사 네패스라웨|네패스 하임,,20211014,2021,20230421.0,20230421.0,20240327.0,20240327.0,H10W 70/00|H10W 74/10|H10W 70/62,H10W 70/00|H10W 74/10|H10W 70/62,,,"본 발명의 기술적 사상은 캐비티를 포함하는 지지 패널; 상기 지지 패널의 상기 캐비티 내에 제공되고, 반도체 기판 및 칩 패드를 포함하는 반도체 칩; 상기 반도체 칩의 측벽과 상기 캐비티를 정의하는 상기 지지 패널의 측벽 사이에 제공된 봉지재; 및 상기 반도체 칩의 상면 및 상기 지지 패널의 상면 상의 절연층; 및 상기 절연층의 상면 상에서 연장되고, 상기 반도체 칩의 상기 칩 패드에 전기적으로 연결된 도전성 재배선 패턴;을 포함하고, 상기 지지 패널의 두께는 상기 반도체 칩의 두께 이상이고, 상기 지지 패널과 상기 반도체 칩의 상기 반도체 기판은 동일한 물질을 포함하는 반도체 패키지를 제공한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93c70098fa0aab58140a0e16d010a9f179d02eb3f2c10183f36863fe3c5f30026605bf2fae037ce594753cd337fddd4e46e6f57c97a489942e,True,True,False,4,data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv,,8,H10W,H10W 70,False,True,4,True,True,2021.0
1020240161901,1020240161901,1020250077366.0,1020250077366.0,,,공개,공개,공개 공개,배터리 화재 전파 지연 스틱 및 이를 포함하는 배터리 모듈,배터리 화재 전파 지연 스틱 및 이를 포함하는 배터리 모듈,주식회사 네패스야하드,주식회사 네패스야하드,,20241114,2024,20250530.0,20250530.0,,,A62C 3/16|A62C 35/02|A62C 35/10|A62D 1/00|H01M 50/178|H01M 50/183|H01M 50/152|H01M 10/42,A62C 3/16|A62C 35/02|A62C 35/10|A62D 1/00|H01M 50/178|H01M 50/183|H01M 50/152|H01M 10/42,,,"배터리 화재 전파 지연 스틱이 개시된다. 본 발명의 일 측면에 따른 배터리 화재 전파 지연 스틱은 내부에 일측방향으로 길이방향을 갖는 수용공간을 형성하는 합성수지 재질의 튜브; 상기 튜브에 의해 형성된 수용공간 내부에 수용되며, 화재를 소화하는 소화재 비즈;를 포함할 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93a91394be486421580733c777b7f171761a5ba17ab915c5927b7466873448672523fa8eec400141fade58ddaa3acb1e08392abf724cb44e24,False,False,False,0,data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv,,9,A62C,A62C 3,False,False,1,False,False,2024.0
1020220159559,1020220159559,1020240019672.0,1020240019672.0,,,공개,공개,공개 공개,소화 기능이 포함된 배터리 모듈 및 배터리 팩,소화 기능이 포함된 배터리 모듈 및 배터리 팩,주식회사 네패스야하드,주식회사 네패스야하드,,20221124,2022,20240214.0,20240214.0,,,H01M 50/231|H01M 50/24|H01M 50/233|H01M 50/222|H01M 50/227,H01M 50/231|H01M 50/24|H01M 50/233|H01M 50/222|H01M 50/227,,,"본 발명의 일 실시예에 따른 배터리 모듈은, 복수의 배터리 셀; 상기 복수의 배터리 셀이 수용된 하우징; 및 상기 하우징의 적어도 일 부분에 소화용 분사액이 도포되어 형성되는 도포부를 포함한다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93dc2217b8f493de222b09ed0936f1677ac30cab7c5af9c55927b3db66a68cf88e24d29b09c2e69ed2b320539454ead7e0e38d4b7f90194780,False,False,False,0,data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv,,10,H01M,H01M 50,False,False,1,False,False,2022.0
1020240160248,1020240160248,1020260071539.0,1020260071539.0,,,공개,공개,공개 공개,이차전지의 리드 탭 및 이의 제조장치,이차전지의 리드 탭 및 이의 제조장치,주식회사 네패스야하드,주식회사 네패스야하드,,20241112,2024,20260519.0,20260519.0,,,H01M 50/533|B21D 35/00|B30B 3/00|B21D 43/00|B21D 43/28,H01M 50/533|B21D 35/00|B30B 3/00|B21D 43/00|B21D 43/28,,,"이차전지의 리드 탭 및 이의 제조장치 개시된다. 본 발명의 일 측면에 따른 이차전지의 리드 탭은, 일정간격 이격형성된 상면 및 하면; 상기 상면 및 상기 하면의 각 양 측으로부터 측부로 향해 상기 상면 및 상기 하면과 일정 각도 기울어진 각도로서 연장되는 경사면; 상기 각 경사면의 끝단에서 상기 상면 및 상기 하면에 대해서 수직되는 방향으로 형성된 측면;을 포함하는 단면형상을 가질 수 있다.",,,,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93ed40ad8e276e0201091b9a35720d37fa083888374b650e77187a99f2c03a79534125fb6791fa798c937cfc1e2b72be8265f34d426dc22e0f,False,False,False,0,data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv,,11,H01M,H01M 50,False,False,0,False,False,2024.0
