universe_rank,company_dir,company_name,ticker6,market,peer_group,semiconductor_tag,is_focal_5,market_data_available,data_quality_status,data_quality_status_kr,manual_review_priority,manual_review_priority_kr,valuation_proxy_score,valuation_proxy_label,valuation_proxy_label_kr,valuation_pred_label,valuation_confidence,valuation_confidence_bucket,valuation_confidence_bucket_kr,credit_risk_score,credit_proxy_label,credit_proxy_label_kr,credit_pred_label,credit_confidence,credit_confidence_bucket,credit_confidence_bucket_kr,credit_anomaly_score,credit_anomaly_flag_top15pct,auditor_requires_human_review,source_type,source_note,focus_reason,is_target
1,dbhitek,DB하이텍,000990,KOSPI,IDM/제조/메모리,IDM/제조/메모리,True,True,OK,데이터 사용 가능,LOW,LOW,0.6653333333333333,ATTRACTIVE,가치 매력,ATTRACTIVE,0.9104444876024207,HIGH,HIGH,0.0,LOW_RISK,저위험,LOW_RISK,0.9880726272379208,HIGH,HIGH,0.04988685023425709,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,TARGET,True
10,mico,미코,059090,KOSDAQ,IDM/제조/메모리,IDM/제조/메모리,True,True,OK,데이터 사용 가능,LOW,LOW,0.7733333333333334,FAIR,FAIR,FAIR,0.9066669659525092,HIGH,HIGH,0.2142857142857142,MEDIUM_RISK,중위험,MEDIUM_RISK,0.6769145960065608,MEDIUM,MEDIUM,0.10646038380774528,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
22,,엘디티,096870,KOSDAQ,IDM/제조/메모리,IDM/제조/메모리,False,True,OK,데이터 사용 가능,LOW,LOW,0.7518333333333332,ATTRACTIVE,가치 매력,ATTRACTIVE,0.8817908899004964,HIGH,HIGH,0.0714285714285714,LOW_RISK,저위험,LOW_RISK,0.8068970516192283,HIGH,HIGH,0.2312715560027526,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
9,,메카로,241770,KOSDAQ,IDM/제조/메모리,IDM/제조/메모리,False,True,OK,데이터 사용 가능,LOW,LOW,0.7476666666666667,ATTRACTIVE,가치 매력,ATTRACTIVE,0.9154158498128573,HIGH,HIGH,0.0,LOW_RISK,저위험,LOW_RISK,0.9196609311939408,HIGH,HIGH,0.12775877727770685,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
12,,삼성전자,005930,KOSPI,IDM/제조/메모리,IDM/제조/메모리,False,True,OK,데이터 사용 가능,LOW,LOW,0.7078333333333333,ATTRACTIVE,가치 매력,ATTRACTIVE,0.9371541027950523,HIGH,HIGH,0.0,LOW_RISK,저위험,LOW_RISK,0.9760796731366836,HIGH,HIGH,0.4140062883705867,True,True,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
4,,SK하이닉스,000660,KOSPI,IDM/제조/메모리,IDM/제조/메모리,False,True,OK,데이터 사용 가능,LOW,LOW,0.6933333333333334,ATTRACTIVE,가치 매력,ATTRACTIVE,0.8582250965188642,HIGH,HIGH,0.0,LOW_RISK,저위험,LOW_RISK,0.9246810687108324,HIGH,HIGH,0.4530741670429333,True,True,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
32,,케이엔제이,272110,KOSDAQ,IDM/제조/메모리,IDM/제조/메모리,False,True,OK,데이터 사용 가능,LOW,LOW,0.69,FAIR,FAIR,FAIR,0.8941431334693103,HIGH,HIGH,0.3571428571428571,MEDIUM_RISK,중위험,MEDIUM_RISK,0.6916505304322266,MEDIUM,MEDIUM,0.08026450343217886,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
40,,한양디지텍,078350,KOSDAQ,IDM/제조/메모리,IDM/제조/메모리,False,True,OK,데이터 사용 가능,LOW,LOW,0.6805000000000001,ATTRACTIVE,가치 매력,ATTRACTIVE,0.8705426081647281,HIGH,HIGH,0.0714285714285714,LOW_RISK,저위험,LOW_RISK,0.7978732006060483,HIGH,HIGH,0.008155150389343335,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
24,,오디텍,080520,KOSDAQ,IDM/제조/메모리,IDM/제조/메모리,False,True,OK,데이터 사용 가능,LOW,LOW,0.6083333333333334,FAIR,FAIR,FAIR,0.8328575689014174,HIGH,HIGH,0.4285714285714285,HIGH_RISK,고위험,HIGH_RISK,0.5607063964580236,MEDIUM,MEDIUM,0.4397907707686155,True,True,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
6,,그린리소스,402490,KOSDAQ,IDM/제조/메모리,IDM/제조/메모리,False,True,OK_LIMITED_HISTORY_OR_GROWTH_NA,데이터 사용 가능,LOW,LOW,0.6021666666666667,FAIR,FAIR,FAIR,0.7869051998623771,HIGH,HIGH,0.4285714285714285,HIGH_RISK,고위험,HIGH_RISK,0.5860253292011965,MEDIUM,MEDIUM,0.04512954873345755,False,True,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
